r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.168156,  -0.197211,   0.025836,   0.240639,   0.078350,   0.081375,   0.878090,   0.173523,  
Y Velocity[A/fs],   0.089923,  -0.088510,  -0.220978,  -0.029337,   0.222715,  -0.873839,  -0.060004,   0.857003, 
Z Velocity[A/fs],   0.003194,   0.005825,  -0.020374,   0.006217,   0.017671,  -0.035483,  -0.059673,   0.010894,  
Speed[A/fs],   0.190716,   0.216241,   0.223415,   0.242500,   0.236755,   0.878337,   0.882158,   0.874461,  
 
r_seed=27,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.161553,  -0.197019,   0.030007,   0.237933,   0.076408,   0.049848,   0.876413,   0.128204,  
Y Velocity[A/fs],   0.089882,  -0.084941,  -0.218388,  -0.016846,   0.236644,  -0.873924,  -0.081902,   0.874696, 
Z Velocity[A/fs],  -0.000218,   0.009216,  -0.007238,  -0.001564,   0.008242,   0.023102,   0.015222,   0.056230,  
Speed[A/fs],   0.184873,   0.214747,   0.220558,   0.238534,   0.248810,   0.875649,   0.880363,   0.885828,  
 
r_seed=28,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
